Date,Topic,Materials,Due
<b>UNIT 1:</b>,<b>Introduction to Data:</b>,"Videos: <a href=""https://www.coursera.org/learn/probability-intro/home/week/1"">[Unit 1, week 1]</a> and <a href=""https://www.coursera.org/learn/probability-intro/home/week/2"">[Unit 1, week 2]</a> ",
,,"Textbook:<a href=""https://www.openintro.org/stat/textbook.php?stat_book=os"">[Chapter 1]</a> ",
,,"Learning Objectives (LO): <a href=""https://www.coursera.org/learn/probability-intro/supplement/rooeY/lesson-learning-objectives"">[Unit 1, week 1]</a> and <a href=""https://www.coursera.org/learn/probability-intro/supplement/cLKTx/lesson-learning-objectives"">[Unit 1, week 2]</a> ",
,,"Problem set 1: <a href=""ps"">PS 1</a> ",
,,Performance Assessment 1:,
"Wednesday, May 16", Data Collection + Observational studies & experiments ,"<a href=""post/slides/deck0H.pdf"">Deck 0</a> + <a href=""post/slides/u1_deck1H.pdf"">Deck 1.1</a> + <a href=""post/app/app_Scientific_studies_press.pdf"">App 1.1</a>",
,<b>Lab:</b> Lab 0: Introduction,"<a href=""post/slides/deck0H.pdf"">Deck 0</a> + <a href=""post/slides/u1_deck1H.pdf"">Deck 1.1</a> + <a href=""post/app/app_Scientific_studies_press.pdf"">App 1.1</a>",
"Thursday, May 17",<b>RA 1</b> (not graded) + Exploratory data analysis,"<a href=""post/labs/lab0.html"">Lab 0</a> + <a href=""post/labs/lab1.html"">Lab 1</a> ",
,<b>Lab:</b> Lab 1: Introduction to R & Rstudio,"<a href=""post/labs/lab0.html"">Lab 0</a> + <a href=""post/labs/lab1.html"">Lab 1</a> ",
"Friday, May 18",Exploratory data analysis,"<a href=""post/slides/u1_deck2H.pdf"">Deck 1.2</a> + <a href=""post/app/app_Dist_num_var.pdf"">App 1.2</a> + <a href=""post/app/app_Boxplots.pdf"">App 1.3</a>",
"Monday, May 21",Introduction to statistical inference,"<a href=""post/slides/u1_deck3H.pdf"">Deck 1.3</a> + <a href=""post/app/app_Rand_test.pdf"">App 1.4</a>",PS 1 + PA 1
,<b>Lab:</b> Lab 2: Introduction to Data,"<a href=""post/slides/u1_deck3H.pdf"">Deck 1.3</a> + <a href=""post/app/app_Rand_test.pdf"">App 1.4</a>",PS 1 + PA 1
<b>UNIT 2:</b>,<b>Probability and Distributions</b>,Videos:,
,,Learning Objectives (LO):,
,,Problem set 1:,
,,Performance Assessment 1:,
"Tuesday, May 22",<b>RA 2</b> + Probability & conditional probability,"<a href=""post/slides/u2_deck1H.pdf"">Deck 2.1</a> + <a href=""post/app/app_Prob_cond_prob.pdf"">App 2.1</a>",
"Wednesday, May 23",Bayes' theorem and Bayesian inference,"<a href=""post/slides/u2_deck2H.pdf"">Deck 2.2</a> + <a href=""post/app/app_Bayes_inf.pdf"">App 2.2</a>",
